REGION;COUNTRY;BRAND;DATE;SALES
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-01;11807
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-02;9818
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-03;17870
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-04;11307
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-05;13881
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-06;13971
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-07;9215
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-08;5648
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-09;9338
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-10;9138
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-11;7893
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-12;7283
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-01;8915
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-02;7309
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-03;10735
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-04;9666
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-05;10159
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-06;9587
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-07;7594
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-08;4232
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-09;7549
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-10;6161
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-11;4983
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-12;4523
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-01;5180
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-02;4923
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-03;8030
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-04;4861
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-05;7651
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-06;5140
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-07;5136
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-08;2765
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-09;6415
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-10;4678
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-11;4885
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-12;3986
EMEA SOUTH;ITALIA;ALFA ROMEO;2018-01;4020
EMEA SOUTH;ITALIA;ALFA ROMEO;2018-02;4791
EMEA SOUTH;ITALIA;ALFA ROMEO;2018-03;7435
EMEA SOUTH;ITALIA;ALFA ROMEO;2018-04;5883
EMEA SOUTH;ITALIA;ALFA ROMEO;2018-05;5799
EMEA SOUTH;ITALIA;ALFA ROMEO;2018-06;4984
EMEA SOUTH;ITALIA;ALFA ROMEO;2018-07;4834
EMEA SOUTH;ITALIA;ALFA ROMEO;2018-08;2435
